country,customer_id
AU,1
AU,2
AU,3
AU,4
AU,5
AU,6
AU,7
AU,8
AU,9
AU,10
AU,11
AU,12
AU,13
AU,14
AU,15
AU,16
AU,17
AU,18
AU,19
AU,20
AU,21
AU,22
AU,23
AU,24
AU,25
AU,26
AU,27
AU,28
AU,29
AU,30
AU,31
AU,32
AU,33
AU,34
AU,35
AU,36
AU,37
AU,38
AU,39
AU,40
AU,41
AU,42
AU,43
AU,44
AU,45
AU,46
AU,47
AU,48
AU,49
AU,50
AU,51
AU,52
AU,53
AU,54
AU,55
AU,56
AU,57
AU,58
AU,59
AU,60
AU,61
AU,62
AU,63
AU,64
AU,65
AU,66
AU,67
AU,68
AU,69
AU,70
AU,71
AU,72
AU,73
AU,74
AU,75
AU,76
AU,77
AU,78
AU,79
AU,80
AU,81
AU,82
AU,83
AU,84
AU,85
AU,86
AU,87
AU,88
AU,89
AU,90
AU,91
AU,92
AU,93
AU,94
AU,95
AU,96
AU,97
AU,98
AU,99
AU,100
AU,101
AU,102
AU,103
AU,104
AU,105
AU,106
AU,107
AU,108
AU,109
AU,110
AU,111
AU,112
AU,113
AU,114
AU,115
AU,116
AU,117
AU,118
AU,119
AU,120
AU,121
AU,122
AU,123
AU,124
AU,125
AU,126
AU,127
AU,128
AU,129
AU,130
AU,131
AU,132
AU,133
AU,134
AU,135
AU,136
AU,137
AU,138
AU,139
AU,140
AU,141
AU,142
AU,143
AU,144
AU,145
AU,146
AU,147
AU,148
AU,149
AU,150
AU,151
AU,152
AU,153
AU,154
AU,155
AU,156
AU,157
AU,158
AU,159
AU,160
AU,161
AU,162
AU,163
AU,164
AU,165
AU,166
AU,167
AU,168
AU,169
AU,170
AU,171
AU,172
AU,173
AU,174
AU,175
AU,176
AU,177
AU,178
AU,179
AU,180
AU,181
AU,182
AU,183
AU,184
AU,185
AU,186
AU,187
AU,188
AU,189
AU,190
AU,191
AU,192
AU,193
AU,194
AU,195
AU,196
AU,197
AU,198
AU,199
AU,200
AU,201
AU,202
AU,203
AU,204
AU,205
AU,206
AU,207
AU,208
AU,209
AU,210
AU,211
AU,212
